Scientific name,Common name,"IUCN Red List(2017)Category","IUCN RedList (2018)Category","Reason forchange","Red Listversion"
Isthmura boneti,Oaxacan False Brook Salamander,VU,EN,N,2018-1
Kalophrynus baluensis,,NT,LC,N,2018-1
Kalophrynus intermedius,Intermediate Sticky Frog,VU,LC,N,2018-1
Kalophrynus minusculus,Small Sticky Frog,VU,LC,N,2018-2
Kalophrynus nubicola,,NT,LC,N,2018-2
Kalophrynus punctatus,Dotted Grainy Frog,VU,LC,N,2018-2
Kalophrynus subterrestris,Burrowing Grainy Frog,NT,LC,N,2018-1
Kaloula kalingensis,Kalinga Narrowmouth Toad,VU,LC,N,2018-1
Kaloula rigida,Luzon Narrow-mouthed Frog,VU,LC,N,2018-1
Kaloula walteri,,DD,VU,N,2018-1
Leptobrachella arayai,Kinabalu Slender Litter Frog,VU,LC,G,2018-1
Leptobrachella baluensis,Kinabalu Dwarf Litter Frog,VU,LC,N,2018-2
Leptobrachella brevicrus,,VU,LC,N,2018-2
Leptobrachella parva,,VU,LC,N,2018-1
Leptobrachella picta,,VU,LC,N,2018-1
Leptobrachium gunungense,,VU,LC,N,2018-1
Leptodactylus pascoensis,Hualo,VU,DD,N,2018-1
Leptolalax kajangensis,Kajang Slender Litter Frog,VU,LC,N,2018-2
Leptolalax maurus,Montane Slender Litter Frog,NT,LC,N,2018-2
Limnonectes arathooni,Djikoro Wart Frog,EN,VU,N,2018-2
Limnonectes asperatus,Rough-backed Frog,NT,LC,N,2018-1
Limnonectes dammermani,Dammerman's Wart Frog,NT,LC,N,2018-1
Limnonectes ibanorum,Rough-backed River Frog,NT,LC,N,2018-1
Limnonectes ingeri,Inger's Wart Frog,NT,LC,N,2018-1
Limnonectes kenepaiensis,Kenepai Wart Frog,DD,VU,N,2018-1
Limnonectes macrodon,Malaya Wart Frog,VU,LC,N,2018-2
Limnonectes parvus,Philippines Small-disked frog,VU,LC,N,2018-1
Limnonectes rhacodus,,NT,LC,N,2018-1
Limnonectes visayanus,Philippine Wart Frog,VU,NT,N,2018-2
Lithobates bwana,Rio Chipillico Frog,VU,LC,N,2018-1
Lynchius flavomaculatus,Yellow-spotted Andes Frog,VU,DD,N,2018-1
Lynchius nebulanastes,Canchaque Andes Frog,DD,EN,N,2018-1
Megophrys baluensis,Kinabalu Horned Frog,NT,LC,N,2018-1
Megophrys dringi,Dring’s Horned Frog,NT,LC,N,2018-2
Megophrys kobayashii,Kobayashi's Horned Frog,NT,LC,N,2018-1
Megophrys ligayae,Palawan Horned Frog,EN,NT,N,2018-1
Megophrys parallela,,DD,LC,N,2018-1
Megophrys stejnegeri,Mindanao Horned Frog,VU,LC,N,2018-1
Meristogenys amoropalamus,Mountain Borneo Frog,VU,LC,N,2018-1
Meristogenys kinabaluensis,Kinabalu Torrent Frog,NT,LC,N,2018-1
Meristogenys whiteheadi,Whitehead's Borneo Frog,NT,LC,N,2018-1
Microhyla maculifera,Spotted Narrow-mouthed Frog,VU,DD,N,2018-1
Microhyla perparva,Labang Forest Rice Frog,NT,LC,N,2018-1
Microhyla petrigena,Kapit Rice Frog,NT,LC,N,2018-2
Nannophryne cophotis,Paramo Toad,LC,CR(PE),G,2018-2
Nannophryne corynetes,Abra Malaga Toad,VU,EN,G,2018-1
Noblella lynchi,,DD,EN,N,2018-1
Nyctixalus margaritifer,Java Indonesian Treefrog,VU,LC,N,2018-2
Nyctixalus spinosus,Spiny Indonesian Treefrog,VU,LC,N,2018-1
Nymphargus griffithsi,Ecuador Cochran Frog,VU,LC,N,2018-1
Nymphargus mariae,Maria's Giant Glass Frog,EN,LC,N,2018-1
Nymphargus mixomaculatus,,DD,CR,N,2018-1
Nymphargus ocellatus,Spotted Cochran Frog,NT,DD,N,2018-1
Nymphargus phenax,Tutumbaro Cochran Frog,DD,EN,N,2018-2
Nymphargus posadae,,VU,LC,N,2018-1
Occidozyga diminutiva,Tiny Oriental Frog,VU,NT,N,2018-2
Oreobates lehri,,LC,EN,N,2018-1
Oreobates lundbergi,,DD,EN,N,2018-1
Oreobates pereger,Ayacucho Andes Frog,CR,EN,N,2018-1
Oreobates saxatilis,Tarapoto Big-headed Frog,DD,LC,N,2018-1
Oreophryne anulata,Mindanao Cross Frog,VU,LC,N,2018-1
