Scientific name,Common name,"IUCN Red List(2021)Category","IUCN RedList (2022)Category","Reason forchange","Red Listversion"
"",,,,,
MAMMALS (Mammalia),,,,,
Metatrichoniscoides celticus,Celtic Woodlouse,VU,NT,N,2022-1
"",,,,,
"SEA ANENOMES, STONY CORALS & SOFT CORALS (Anthozoa)",,,,,
Edwardsia ivelli,Ivell's Sea Anemone,DD,CR,N,2022-1
"",,,,,
FLOWERING PLANTS (Liliopsida and Magnoliopsida),,,,,
Acacia aulacocarpa,,LR/nt,LC,N,2022-1
Actinodaphne lanata,,CR,VU,N,2022-1
Aegiphila fasciculata,,VU,LC,N,2022-1
Aegiphila monstrosa,,VU,LC,N,2022-1
Afrostyrax lepidophyllus,,VU,LC,N,2022-1
Aglaia densisquama,,VU,NT,N,2022-1
Aglaia flavida,,LR/nt,LC,N,2022-1
Aglaia lepiorrhachis,,VU,NT,N,2022-1
Aglaia parksii,,VU,DD,N,2022-1
Aglaia parviflora,,LR/nt,LC,N,2022-1
Aglaia puberulanthera,,VU,NT,N,2022-1
Aglaia subcuprea,,LR/nt,LC,N,2022-1
Alfaroa mexicana,,VU,EN,G,2022-1
Aloidendron ramosissimum,Maiden's Quiver Tree,VU,EN,G,2022-1
Alphonsea curtisii,,LR/lc,NT,N,2022-1
Amanoa bracteosa,,VU,LC,N,2022-1
Amphitecna spathicalyx,,CR,LC,N,2022-1
Andira galeottiana,Macayo,VU,LC,N,2022-1
Angylocalyx talbotii,,VU,LC,N,2022-1
Aspidosperma megalocarpon,,LR/nt,LC,N,2022-1
Atalaya capensis,Cape Wing-nut,LR/cd,LC,N,2022-1
Aubletiana macrostachys,,LR/nt,LC,N,2022-1
Bikinia durandii,,VU,LC,N,2022-1
Brachychiton velutinosus,,VU,LC,N,2022-1
Brahea edulis,Guadalupe Palm,EN,LC,N,2022-1
Burckella sorei,,LR/nt,EN,N,2022-1
Calophyllum nubicola,,EN,VU,N,2022-1
Calpocalyx klainei,Mississé,VU,LC,N,2022-1
Casearia atlantica,,EN,LC,N,2022-1
Cassipourea swaziensis,,DD,LC,N,2022-1
Cephalosphaera usambarensis,,VU,NT,N,2022-1
Chisocheton stellatus,,VU,CR,N,2022-1
Chromolucuma baehniana,Baehni Chromolucuma,LR/lc,NT,N,2022-1
Chrysophyllum brenesii,,LR/cd,LC,N,2022-1
Chrysophyllum hirsutum,,LR/nt,LC,N,2022-1
Cinnamomum micranthum,,LR/cd,LC,N,2022-1
Combretum tenuipetiolatum,,CR,EN,N,2022-1
Conophytum halenbergense,,VU,CR,G,2022-1
Corythophora labriculata,Dwarf Oemanbaklak,VU,LC,N,2022-1
Couepia scottmorii,,CR,DD,N,2022-1
Crossopetalum parvifolium,,LR/lc,EN,N,2022-1
Cryosophila nana,Palo de escoba,LR/nt,LC,N,2022-1
Cryptocarya ferrarsi,,CR,VU,N,2022-1
Cynometra suaheliensis,,VU,NT,N,2022-1
Cynometra ulugurensis,,EN,CR,N,2022-1
Dalbergia cochinchinensis,Siamese Rosewood,VU,CR,N,2022-1
Dalbergia oliveri,Burmese Rosewood,EN,CR,N,2022-1
Damburneya bicolor,,EN,VU,N,2022-1
Damburneya cufodontisii,Quizarrá Amarillo,LR/nt,LC,N,2022-1
Damburneya mirafloris,Aguacate de Monte,VU,EN,N,2022-1
Damburneya smithii,,VU,NT,N,2022-1
Decazyx esparzae,,CR,EN,N,2022-1
Deinbollia nyasica,,EN,CR,N,2022-1
Dendropanax hondurensis,,CR,VU,N,2022-1
Dialium bipindense,,LR/nt,LC,N,2022-1
Dialium lopense,,LR/nt,LC,N,2022-1
Dialium orientale,,LR/nt,VU,N,2022-1
Didelotia unifoliolata,,LR/nt,LC,N,2022-1
Drepananthus olivaceus,,LR/cd,DD,N,2022-1
Ecclinusa parviflora,Temare de Montaña,VU,EN,N,2022-1
Elaeagia pastoensis,Barníz de Pasto,VU,LC,N,2022-1
Elaeocarpus blascoi,Rudrakhsa Tree,EN,CR,N,2022-1
Elaeocarpus venustus,,VU,CR,N,2022-1
Elaeoluma crispa,,LR/nt,VU,G,2022-1
Erythrina tuxtlana,Pitillo,VU,EN,G,2022-1
Eschweilera boltenii,Bolten Eschweilera,VU,DD,N,2022-1
