Scientific name,Common name,"IUCN Red List(2012)Category","IUCN RedList (2013)Category","Reason forchange","Red Listversion"
Impatiens gordonii,Seychelles Bizzie Lizzie,E,CR,N,2013.1
Jasminocereus thouarsii,Candelabra Cactus,VU,LC,N,2013.1
Leptocereus quadricostatus,Sebucan,CR,EN,N,2013.1
Lijndenia brenanii,,VU,CR(PE),N,2013.2
Lophophora williamsii,Peyote,LC,VU,N,2013.1
Lovoa swynnertonii,Brown Mahogany,EN,NT,N,2013.2
Mammillaria aureilanata,,VU,EN,G,2013.1
Mammillaria duwei,,EN,CR,N,2013.1
Mammillaria gasseriana,,VU,EN,N,2013.1
Mammillaria glochidiata,,EW,CR,N,2013.1
Mammillaria guelzowiana,,CR,LC,G,2013.1
Mammillaria guillauminiana,,EW,DD,N,2013.1
Mammillaria luethyi,,EN,VU,N,2013.1
Mammillaria mathildae,,VU,EN,N,2013.1
Mammillaria microhelia,,VU,EN,N,2013.1
Mammillaria pennispinosa,,EN,CR,N,2013.1
Mammillaria rettigiana,,VU,EN,N,2013.1
Mammillaria sinistrohamata,,LC,DD,N,2013.1
Mammillaria weingartiana,,VU,LC,N,2013.1
Mammillaria zeilmanniana,,EN,CR,N,2013.1
Melocactus deinacanthus,,CR,EN,N,2013.1
Melocactus ferreophilus,,EN,CR,N,2013.1
Melocactus glaucescens,,CR,EN,N,2013.1
Melocactus lanssensianus,,DD,EN,N,2013.1
Melocactus pachyacanthus,,EN,VU,N,2013.1
Melocactus paucispinus,,EN,LC,N,2013.1
Memecylon greenwayi,,VU,LC,N,2013.2
Mesogyne insignis,,VU,NT,N,2013.2
Micranthocereus albicephalus,,NT,VU,G,2013.1
Micranthocereus dolichospermaticus,,DD,NT,N,2013.1
Micranthocereus violaciflorus,,VU,EN,N,2013.1
Millettia micans,,VU,EN,N,2013.2
Obregonia denegrii,Artichoke Cactus,VU,EN,N,2013.1
Opuntia pachyrrhiza,,VU,EN,N,2013.1
Pereskia aureiflora,,VU,EN,G,2013.1
Pilosocereus aureispinus,,DD,VU,N,2013.1
Pilosocereus floccosus,,NT,LC,N,2013.1
Pilosocereus fulvilanatus,,VU,NT,N,2013.1
Pilosocereus glaucochrous,,NT,LC,N,2013.1
Pilosocereus magnificus,,NT,EN,N,2013.1
Pilosocereus multicostatus,,NT,EN,N,2013.1
Pilosocereus piauhyensis,,NT,LC,N,2013.1
Ptychosperma gracile,,EN,NT,N,2013.1
Rhipsalis cereoides,,VU,NT,N,2013.1
Rhipsalis crispata,,VU,EN,N,2013.1
Rhipsalis oblonga,,NT,VU,G,2013.1
Rhipsalis pacheco-leonis,,DD,EN,N,2013.1
Schlumbergera microsphaerica,Christmas Cactus,DD,VU,N,2013.1
Schlumbergera opuntioides,Christmas Cactus,NT,VU,N,2013.1
Strychnos mellodora,,VU,LC,N,2013.2
Tacinga estevesii,,VU,EN,N,2013.1
Tacinga werneri,,VU,LC,N,2013.1
Thelocactus hastifer,,VU,EN,G,2013.1
Trichilia lovettii,,VU,LC,N,2013.2
Turbinicarpus horripilus,,VU,EN,N,2013.1
Turbinicarpus laui,,VU,CR,N,2013.1
Turbinicarpus lophophoroides,,VU,NT,N,2013.1
Turbinicarpus pseudomacrochele,,VU,EN,N,2013.1
Turbinicarpus pseudopectinatus,,VU,LC,N,2013.1
Turbinicarpus viereckii,,NT,LC,N,2013.1
Uebelmannia gummifera,,VU,EN,N,2013.1
Uebelmannia pectinifera,,LC,EN,N,2013.1
